Release Date,Season,Episode,Episode Title,Sentence,Character,word_count
2011-04-17,Season 1,Episode 1,Winter is Coming,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",waymar royce,25
2011-04-17,Season 1,Episode 1,Winter is Coming,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",will,21
2011-04-17,Season 1,Episode 1,Winter is Coming,How close did you get?,waymar royce,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Close as any man would.,will,5
2011-04-17,Season 1,Episode 1,Winter is Coming,We should head back to the wall.,gared,7
2011-04-17,Season 1,Episode 1,Winter is Coming,Do the dead frighten you?,royce,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,gared,16
2011-04-17,Season 1,Episode 1,Winter is Coming,You don't think he'll ask us how they died? Get back on your horse.,royce,14
2011-04-17,Season 1,Episode 1,Winter is Coming,Whatever did it to them could do it to us. They even killed the children.,will,15
2011-04-17,Season 1,Episode 1,Winter is Coming,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",royce,41
2011-04-17,Season 1,Episode 1,Winter is Coming,Your dead men seem to have moved camp.,royce,8
2011-04-17,Season 1,Episode 1,Winter is Coming,They were here.,will,3
2011-04-17,Season 1,Episode 1,Winter is Coming,See where they went.,gared,4
2011-04-17,Season 1,Episode 1,Winter is Coming,What is it?,royce,3
2011-04-17,Season 1,Episode 1,Winter is Coming,It's …,gared,2
2011-04-17,Season 1,Episode 1,Winter is Coming,Go on. Father's watching.,jon snow,4
2011-04-17,Season 1,Episode 1,Winter is Coming,And your mother.,jon snow,3
2011-04-17,Season 1,Episode 1,Winter is Coming,"Fine work, as always. Well done.",septa mordane,6
2011-04-17,Season 1,Episode 1,Winter is Coming,Thank you.,sansa stark,2
2011-04-17,Season 1,Episode 1,Winter is Coming,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,septa mordane,19
2011-04-17,Season 1,Episode 1,Winter is Coming,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",eddard stark,15
2011-04-17,Season 1,Episode 1,Winter is Coming,"Don't think too much, Bran.",jon snow,5
2011-04-17,Season 1,Episode 1,Winter is Coming,Relax your bow arm.,robb stark,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"Quick, Bran, faster!",jonrobb,3
2011-04-17,Season 1,Episode 1,Winter is Coming,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,cassel,20
2011-04-17,Season 1,Episode 1,Winter is Coming,Get the lads to saddle their horses.,eddard stark,7
2011-04-17,Season 1,Episode 1,Winter is Coming,Do you have to?,catelyn stark,4
2011-04-17,Season 1,Episode 1,Winter is Coming,"He swore an oath, Cat.",eddard stark,5
